# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc
1264.81 575.074 204.2849958 -29.8818721 4829.0 3.105 26.385 23.28 1.219 0.09998 0.0 29.727 1.0025 22.468 0.0354 25.701 0.0964 22.425 0.0213 -99.0 -99.0 -99.0 -99.0 26.507 0.0693 23.531 0.0176 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 24.998 0.0785333333333 21.47 0.0154666666667 -99.0 -99.0 25.093 0.0862666666667 -99.0 -99.0 -99.0 -99.0
3869.59 589.479 204.2516087 -29.8817119 5170.0 2.148 27.415 25.267 0.472 0.8895 0.0 26.726 0.2521 24.226 0.0799 26.903 0.1681 24.644 0.0599 26.934 0.346733333333 24.369 0.1072 28.256 0.1567 26.237 0.0638 28.423 0.4378 25.281 0.1036 28.792 0.441333333333 25.526 0.0987333333333 28.136 0.1037 26.182 0.047 26.035 0.126666666667 22.492 0.0248 28.002 0.3152 24.825 0.0736666666667 29.177 0.345 -99.0 -99.0
1540.06 604.344 204.2814677 -29.8815473 5500.0 2.345 25.414 23.069 2.98 0.96704 0.0 24.633 0.096 22.377 0.034 24.782 0.0631 22.544 0.0226 24.631 0.119733333333 22.181 0.0388 26.268 0.0622 23.993 0.0219 25.384 0.1074 22.673 0.0308666666667 26.004 0.121066666667 23.852 0.0451333333333 26.274 0.0427 23.864 0.0143 23.877 0.0468666666667 20.704 0.0108666666667 25.481 0.0974 22.947 0.0304666666667 25.853 0.06 23.346 0.0194
3612.62 607.95 204.2549025 -29.881507 5579.0 2.617 25.825 23.208 2.042 0.95919 0.0 24.721 0.1001 22.118 0.0302 25.134 0.0743 22.575 0.0229 25.676 0.193866666667 23.212 0.0624666666667 26.643 0.074 24.116 0.0232 26.274 0.161866666667 23.836 0.0528666666667 26.711 0.167666666667 24.178 0.0523333333333 26.782 0.054 24.21 0.0167 25.486 0.0983333333333 22.183 0.0214666666667 26.43 0.151066666667 23.995 0.0496 26.744 0.0906 23.84 0.0242
2491.98 748.461 204.2692664 -29.8799466 9512.0 2.237 27.462 25.225 0.452 0.71703 0.0 29.191 0.7921 -99.0 -99.0 27.757 0.2488 25.649 0.0947 -99.0 -99.0 -99.0 -99.0 28.758 0.1961 26.531 0.0709 28.513 0.455733333333 26.059 0.1492 30.214 0.868733333333 26.671 0.171 28.513 0.1207 26.165 0.0423 26.128 0.1322 22.877 0.0296 28.436 0.384733333333 25.547 0.1034 26.624 0.0852 24.411 0.0316
1058.86 815.252 204.2876351 -29.8792032 11280.0 1.869 27.375 25.506 0.49 0.83507 0.0 28.027 0.4625 -99.0 -99.0 27.521 0.2239 26.079 0.1195 26.371 0.2674 24.399 0.1092 27.915 0.1335 26.404 0.0696 27.954 0.352 26.329 0.1714 27.826 0.281333333333 27.097 0.2166 27.929 0.0926 25.799 0.0366 26.135 0.1326 22.816 0.0287333333333 28.128 0.333333333333 26.562 0.1746 27.494 0.1294 25.124 0.0461
810.675 1035.64 204.2908157 -29.8767539 16689.0 3.016 27.274 24.258 0.537 0.68644 0.0 27.492 0.3601 24.599 0.0956 27.93 0.2708 24.203 0.0486 26.298 0.258466666667 22.732 0.0500666666667 29.178 0.2419 25.998 0.0566 27.144 0.243133333333 23.2 0.0394666666667 27.78 0.2754 24.742 0.0683333333333 28.47 0.1215 25.379 0.0301 24.441 0.0608 21.055 0.0128 27.624 0.2634 24.348 0.0586 26.282 0.0728 23.75 0.0231
1166.42 1223.63 204.2862557 -29.8746658 21230.0 2.343 24.769 22.426 5.4 1.8823 0.0 23.355 0.0534 21.026 0.0184 24.035 0.045 21.604 0.0149 24.426 0.109466666667 21.986 0.036 25.579 0.0456 23.134 0.015 25.558 0.118 22.527 0.0296 25.618 0.101333333333 23.123 0.0322 25.671 0.033 23.149 0.0107 23.747 0.0441333333333 20.244 0.0088 25.66 0.106866666667 22.987 0.0317333333333 26.017 0.066 23.36 0.0203
1222.72 1640.05 204.2855334 -29.870039 31079.0 2.748 25.093 22.345 4.007 1.4511 0.0 25.266 0.1287 22.299 0.0329 24.783 0.0634 21.939 0.0172 24.887 0.134866666667 22.13 0.038 25.905 0.0529 23.122 0.0148 25.25 0.101333333333 22.568 0.0296666666667 25.594 0.100266666667 22.985 0.0302 25.687 0.0331 22.889 0.0094 23.929 0.048 20.561 0.0102 25.443 0.0965333333333 22.901 0.0306 25.398 0.0491 22.653 0.0144
1406.33 1740.88 204.2831801 -29.868919 33000.0 2.13 26.011 23.881 1.72 0.93959 0.0 25.573 0.1481 23.569 0.059 25.567 0.0906 23.372 0.033 25.925 0.217533333333 23.913 0.0866666666667 26.8 0.0795 24.552 0.0284 26.477 0.1776 24.178 0.0618 26.663 0.164 24.567 0.0627333333333 26.736 0.0529 24.665 0.0208 25.642 0.105666666667 22.377 0.0235333333333 26.686 0.169866666667 24.45 0.0612 26.846 0.0953 24.656 0.0367
